condition,model,optimized,backend,cost,success,n_evaluations,alpha_am,alpha_hm,alpha_mo,alpha_op,f_am,C13_POM,m,b
Initial guess,static,False,initial,123.31462750398015,,0,1.0238,1.0456,1.0151,1.0238,0.5,-25.6,,
All Observations,static,True,legacy,82.22512128181614,True,3469,1.032486771376092,1.0649277032168085,1.015,1.070386517301253,0.8173627378173729,-25.956170318276527,,
No Winter Obs.,static,True,legacy,1.086014266709717e-12,False,18118,1.016426531299751,1.06672638491514,1.0330837965054211,1.0528176923717776,0.7184629911909645,-26.151742817035913,,
No Winter Emission Obs.,static,True,legacy,74.560194097162,True,3725,1.0313729671699727,1.0524485055390325,1.015,1.0098758403426915,0.535009872266612,-22.152728786153805,,
Temperature-Based,temperature,True,legacy,5.057802265732764,True,2565,,,1.015,1.0693271010661716,,,4.802614513153258,-84.0085835792859
