Parameter_Id: Parameter_Value
 1: 2.000000e+02
 2: 1.000000e+00
 3: 1.000000e+00
 4: 1.500000e+00
 5: 0.3
 6: 0.4
 7: 1.700000e-04
 8: 5.000000e-05
 9: 0.08
10: 0.10
11: 9.000000e-01
12: 1.300000e-01
13: 0.0002061998
14: 6.000000e-01
15: 1.700000e-06
16: 3.800000e-06
17: 1.0
18: 1.68103125e-11
19: 5.720000e-08
20: 2.0e-11
21: 2.0e-10
22: 3.640000e-10
23: 4.2
24: 2.0
25: 1.2
26: 50.0
27: 6.6e-7
28: 2.5858642578125
29: 7.900000e-01
30: 1.000000e+01
31: 0.0001
32: 0.05
