Parameter_Id: Parameter_Value
 1: 2.0e+02
 2: 1.0
 3: 1.0
 4: 0.8
 5: 0.26
 6: 0.26
 7: 1.2e-04
 8: 2.0e-05
 9: 0.08
10: 0.1
11: 9.0e-01
12: 1.3e-01
13: 2.061998e-04
14: 0.8
15: 1.7e-06
16: 3.8e-06
17: 10.0
18: 1.7e-10
19: 1.0e-08
20: 4.0e-13
21: 1.2e-11
22: 3.64e-10
23: 15.0
24: 1.0
25: 1.2
26: 0.0
27: 2.0e-6
28: 2.0
29: 0.79
30: 8.0
31: 0.0
32: 0.05
