Observation #: 25722
-------------------------------------------------------------------------------------
 Time(YYYMMDD)   Depth(m) Value(celsius)  Std(%)
       20080412       3.32        1.4800     10.0
       20080412       4.31        1.8200     10.0
       20080412       5.30        2.2100     10.0
       20080412       6.24        2.6200     10.0
       20080412       7.21        3.0200     10.0
       20080412       8.21        3.4100     10.0
       20080412       9.22        3.8500     10.0
       20080412      10.89        4.8600     10.0
       20080413       2.50        1.2500     10.0
       20080413       2.87        1.3500     10.0
       20080413       3.32        1.4800     10.0
       20080413       4.31        1.8300     10.0
       20080413       5.30        2.2100     10.0
       20080413       6.24        2.6300     10.0
       20080413       7.21        3.0600     10.0
       20080413       8.21        3.4200     10.0
       20080413       9.22        3.8600     10.0
       20080413      10.89        4.8700     10.0
       20080414       2.50        1.2600     10.0
       20080414       2.87        1.3500     10.0
       20080414       3.32        1.4900     10.0
       20080414       4.31        1.8400     10.0
       20080414       5.30        2.2200     10.0
       20080414       6.24        2.6300     10.0
       20080414       7.21        3.0700     10.0
       20080414       8.21        3.4200     10.0
       20080414       9.22        3.8700     10.0
       20080414      10.89        4.8700     10.0
       20080415       2.50        1.2600     10.0
       20080415       2.87        1.3600     10.0
       20080415       3.32        1.5000     10.0
       20080415       4.31        1.8400     10.0
       20080415       5.30        2.2200     10.0
       20080415       6.24        2.6400     10.0
       20080415       7.21        3.0700     10.0
       20080415       8.21        3.4300     10.0
       20080415       9.22        3.8700     10.0
       20080415      10.89        4.8700     10.0
       20080416       2.50        1.2800     10.0
       20080416       2.87        1.3700     10.0
       20080416       3.32        1.5000     10.0
       20080416       4.31        1.8500     10.0
       20080416       5.30        2.2300     10.0
       20080416       6.24        2.6400     10.0
       20080416       7.21        3.0900     10.0
       20080416       8.21        3.4300     10.0
       20080416       9.22        3.8800     10.0
       20080416      10.89        4.8700     10.0
       20080417       2.50        1.3100     10.0
       20080417       2.87        1.3800     10.0
       20080417       3.32        1.5100     10.0
       20080417       4.31        1.8500     10.0
       20080417       5.30        2.2300     10.0
       20080417       6.24        2.6600     10.0
       20080417       7.21        3.1200     10.0
       20080417       8.21        3.4400     10.0
       20080417       9.22        3.9100     10.0
       20080417      10.89        4.8700     10.0
       20080418       2.50        1.3400     10.0
       20080418       2.87        1.4000     10.0
       20080418       3.32        1.5300     10.0
       20080418       4.31        1.8600     10.0
       20080418       5.30        2.2300     10.0
       20080418       6.24        2.6700     10.0
       20080418       7.21        3.1000     10.0
       20080418       8.21        3.4400     10.0
       20080418       9.22        3.9200     10.0
       20080418      10.89        4.8800     10.0
       20080419       2.50        1.3700     10.0
       20080419       2.87        1.4200     10.0
       20080419       3.32        1.5400     10.0
       20080419       4.31        1.8700     10.0
       20080419       5.30        2.2400     10.0
       20080419       6.24        2.6700     10.0
       20080419       7.21        3.1100     10.0
       20080419       8.21        3.4500     10.0
       20080419       9.22        3.9400     10.0
       20080419      10.89        4.8800     10.0
       20080420       2.50        1.4200     10.0
       20080420       2.87        1.4500     10.0
       20080420       3.32        1.5500     10.0
       20080420       4.31        1.8800     10.0
       20080420       5.30        2.2500     10.0
       20080420       6.24        2.6800     10.0
       20080420       7.21        3.1200     10.0
       20080420       8.21        3.4600     10.0
       20080420       9.22        3.9600     10.0
       20080420      10.89        4.8800     10.0
       20080421       2.50        1.4900     10.0
       20080421       2.87        1.5000     10.0
       20080421       3.32        1.5800     10.0
       20080421       4.31        1.9000     10.0
       20080421       5.30        2.2700     10.0
       20080421       6.24        2.7000     10.0
       20080421       7.21        3.1200     10.0
       20080421       8.21        3.4700     10.0
       20080421       9.22        3.9900     10.0
       20080421      10.89        4.8900     10.0
       20080422       2.50        1.5700     10.0
       20080422       2.87        1.5700     10.0
       20080422       3.32        1.6200     10.0
       20080422       4.31        1.9200     10.0
       20080422       5.30        2.2800     10.0
       20080422       6.24        2.7100     10.0
       20080422       7.21        3.1100     10.0
       20080422       8.21        3.4800     10.0
       20080422       9.22        4.0300     10.0
       20080422      10.89        4.8900     10.0
       20080423       2.50        1.7000     10.0
       20080423       2.87        1.6900     10.0
       20080423       3.32        1.7000     10.0
       20080423       4.31        1.9300     10.0
       20080423       5.30        2.3100     10.0
       20080423       6.24        2.7300     10.0
       20080423       7.21        3.1000     10.0
       20080423       8.21        3.4900     10.0
       20080423       9.22        4.0600     10.0
       20080423      10.89        4.8900     10.0
       20080424       2.50        1.8500     10.0
       20080424       2.87        1.8500     10.0
       20080424       3.32        1.8600     10.0
       20080424       4.31        1.9300     10.0
       20080424       5.30        2.3300     10.0
       20080424       6.24        2.7600     10.0
       20080424       7.21        3.1100     10.0
       20080424       8.21        3.5000     10.0
       20080424       9.22        4.0800     10.0
       20080424      10.89        4.9100     10.0
       20080425       2.50        1.9600     10.0
       20080425       2.87        1.9700     10.0
       20080425       3.32        1.9800     10.0
       20080425       4.31        2.0000     10.0
       20080425       5.30        2.3300     10.0
       20080425       6.24        2.8000     10.0
       20080425       7.21        3.1300     10.0
       20080425       8.21        3.5100     10.0
       20080425       9.22        4.0500     10.0
       20080425      10.89        4.9100     10.0
       20080426       2.50        2.1100     10.0
       20080426       2.87        2.1100     10.0
       20080426       3.32        2.1100     10.0
       20080426       4.31        2.1200     10.0
       20080426       5.30        2.3800     10.0
       20080426       6.24        2.8300     10.0
       20080426       7.21        3.1900     10.0
       20080426       8.21        3.5200     10.0
       20080426       9.22        4.0500     10.0
       20080426      10.89        4.9100     10.0
       20080427       2.50        2.2300     10.0
       20080427       2.87        2.2300     10.0
       20080427       3.32        2.2300     10.0
       20080427       4.31        2.2500     10.0
       20080427       5.30        2.4500     10.0
       20080427       6.24        2.8900     10.0
       20080427       7.21        3.2600     10.0
       20080427       8.21        3.5200     10.0
       20080427       9.22        4.0700     10.0
       20080427      10.89        4.9300     10.0
       20080428       2.50        2.3700     10.0
       20080428       2.87        2.3700     10.0
       20080428       3.32        2.3700     10.0
       20080428       4.31        2.3700     10.0
       20080428       5.30        2.4700     10.0
       20080428       6.24        2.9200     10.0
       20080428       7.21        3.2300     10.0
       20080428       8.21        3.5200     10.0
       20080428       9.22        4.0800     10.0
       20080428      10.89        4.9400     10.0
       20080429       2.50        2.4600     10.0
       20080429       2.87        2.4600     10.0
       20080429       3.32        2.4700     10.0
       20080429       4.31        2.4700     10.0
       20080429       5.30        2.4800     10.0
       20080429       6.24        2.9300     10.0
       20080429       7.21        3.1800     10.0
       20080429       8.21        3.5200     10.0
       20080429       9.22        4.1100     10.0
       20080429      10.89        4.9400     10.0
       20080430       2.50        2.6000     10.0
       20080430       2.87        2.6000     10.0
       20080430       3.32        2.6000     10.0
       20080430       4.31        2.6000     10.0
       20080430       5.30        2.6200     10.0
       20080430       6.24        2.9100     10.0
       20080430       7.21        3.1800     10.0
       20080430       8.21        3.5300     10.0
       20080430       9.22        4.1400     10.0
       20080430      10.89        4.9500     10.0
       20080501       2.50        2.7900     10.0
       20080501       2.87        2.7900     10.0
       20080501       3.32        2.7900     10.0
       20080501       4.31        2.7900     10.0
       20080501       5.30        2.8000     10.0
       20080501       6.24        2.8800     10.0
       20080501       7.21        3.1900     10.0
       20080501       8.21        3.5300     10.0
       20080501       9.22        4.1500     10.0
       20080501      10.89        4.9600     10.0
       20080502       2.50        3.0500     10.0
       20080502       2.87        3.0500     10.0
       20080502       3.32        3.0500     10.0
       20080502       4.31        3.0500     10.0
       20080502       5.30        3.0500     10.0
       20080502       6.24        3.0500     10.0
       20080502       7.21        3.1800     10.0
       20080502       8.21        3.5000     10.0
       20080502       9.22        4.1300     10.0
       20080502      10.89        4.9700     10.0
       20080503       2.50        3.3000     10.0
       20080503       2.87        3.3000     10.0
       20080503       3.32        3.2900     10.0
       20080503       4.31        3.2900     10.0
       20080503       5.30        3.2900     10.0
       20080503       6.24        3.2900     10.0
       20080503       7.21        3.2900     10.0
       20080503       8.21        3.4900     10.0
       20080503       9.22        4.0900     10.0
       20080503      10.89        4.9600     10.0
       20080504       2.50        3.5500     10.0
       20080504       2.87        3.5500     10.0
       20080504       3.32        3.5400     10.0
       20080504       4.31        3.5400     10.0
       20080504       5.30        3.5400     10.0
       20080504       6.24        3.5400     10.0
       20080504       7.21        3.5400     10.0
       20080504       8.21        3.4800     10.0
       20080504       9.22        4.0700     10.0
       20080504      10.89        4.9700     10.0
       20080505       2.50        3.7400     10.0
       20080505       2.87        3.7400     10.0
       20080505       3.32        3.7400     10.0
       20080505       4.31        3.7300     10.0
       20080505       5.30        3.7400     10.0
       20080505       6.24        3.7400     10.0
       20080505       7.21        3.7400     10.0
       20080505       8.21        3.5100     10.0
       20080505       9.22        4.0600     10.0
       20080505      10.89        4.9700     10.0
       20080506       2.50        3.8300     10.0
       20080506       2.87        3.8300     10.0
       20080506       3.32        3.8200     10.0
       20080506       4.31        3.8200     10.0
       20080506       5.30        3.8100     10.0
       20080506       6.24        3.8100     10.0
       20080506       7.21        3.8000     10.0
       20080506       8.21        3.5500     10.0
       20080506       9.22        4.0400     10.0
       20080506      10.89        5.0200     10.0
       20080507       2.50        4.0300     10.0
       20080507       2.87        3.9900     10.0
       20080507       3.32        3.9600     10.0
       20080507       4.31        3.9000     10.0
       20080507       5.30        3.8800     10.0
       20080507       6.24        3.8600     10.0
       20080507       7.21        3.8600     10.0
       20080507       8.21        3.8500     10.0
       20080507       9.22        3.8100     10.0
       20080507      10.89        5.0000     10.0
       20080508       2.50        3.9200     10.0
       20080508       2.87        3.9100     10.0
       20080508       3.32        3.8900     10.0
       20080508       4.31        3.8700     10.0
       20080508       5.30        3.8800     10.0
       20080508       6.24        3.8700     10.0
       20080508       7.21        3.8400     10.0
       20080508       8.21        3.8500     10.0
       20080508       9.22        3.8200     10.0
       20080508      10.89        4.7700     10.0
       20080509       2.50        4.0200     10.0
       20080509       2.87        4.0000     10.0
       20080509       3.32        3.9900     10.0
       20080509       4.31        3.9500     10.0
       20080509       5.30        3.9200     10.0
       20080509       6.24        3.8800     10.0
       20080509       7.21        3.8600     10.0
       20080509       8.21        3.8600     10.0
       20080509       9.22        3.7600     10.0
       20080509      10.89        4.8100     10.0
       20080510       2.50        3.8800     10.0
       20080510       2.87        3.8900     10.0
       20080510       3.32        3.9000     10.0
       20080510       4.31        3.9100     10.0
       20080510       5.30        3.9200     10.0
       20080510       6.24        3.9200     10.0
       20080510       7.21        3.9000     10.0
       20080510       8.21        3.8400     10.0
       20080510       9.22        3.8600     10.0
       20080510      10.89        4.5000     10.0
       20080511       2.50        4.3100     10.0
       20080511       2.87        4.3000     10.0
       20080511       3.32        4.3000     10.0
       20080511       4.31        4.2800     10.0
       20080511       5.30        4.2700     10.0
       20080511       6.24        4.2600     10.0
       20080511       7.21        4.2500     10.0
       20080511       8.21        4.2400     10.0
       20080511       9.22        4.2300     10.0
       20080511      10.89        4.2100     10.0
       20080512       2.50        4.9200     10.0
       20080512       2.87        4.9000     10.0
       20080512       3.32        4.8700     10.0
       20080512       4.31        4.8300     10.0
       20080512       5.30        4.8100     10.0
       20080512       6.24        4.7900     10.0
       20080512       7.21        4.7600     10.0
       20080512       8.21        4.7400     10.0
       20080512       9.22        4.7300     10.0
       20080512      10.89        4.7000     10.0
       20080513       2.50        5.2600     10.0
       20080513       2.87        5.2600     10.0
       20080513       3.32        5.2400     10.0
       20080513       4.31        5.2200     10.0
       20080513       5.30        5.1900     10.0
       20080513       6.24        5.1600     10.0
       20080513       7.21        5.1300     10.0
       20080513       8.21        5.0900     10.0
       20080513       9.22        5.0700     10.0
       20080513      10.89        5.0400     10.0
       20080514       2.50        5.3400     10.0
       20080514       2.87        5.3400     10.0
       20080514       3.32        5.3300     10.0
       20080514       4.31        5.3200     10.0
       20080514       5.30        5.3200     10.0
       20080514       6.24        5.3000     10.0
       20080514       7.21        5.3000     10.0
       20080514       8.21        5.2900     10.0
       20080514       9.22        5.2800     10.0
       20080514      10.89        5.2600     10.0
       20080515       2.50        5.1800     10.0
       20080515       2.87        5.1800     10.0
       20080515       3.32        5.1800     10.0
       20080515       4.31        5.1800     10.0
       20080515       5.30        5.1800     10.0
       20080515       6.24        5.1700     10.0
       20080515       7.21        5.1700     10.0
       20080515       8.21        5.1700     10.0
       20080515       9.22        5.1800     10.0
       20080515      10.89        5.1700     10.0
       20080516       2.50        5.1500     10.0
       20080516       2.87        5.1500     10.0
       20080516       3.32        5.1400     10.0
       20080516       4.31        5.1400     10.0
       20080516       5.30        5.1400     10.0
       20080516       6.24        5.1400     10.0
       20080516       7.21        5.1400     10.0
       20080516       8.21        5.1300     10.0
       20080516       9.22        5.1400     10.0
       20080516      10.89        5.1300     10.0
       20080517       2.50        5.2000     10.0
       20080517       2.87        5.1900     10.0
       20080517       3.32        5.1900     10.0
       20080517       4.31        5.1900     10.0
       20080517       5.30        5.1800     10.0
       20080517       6.24        5.1800     10.0
       20080517       7.21        5.1700     10.0
       20080517       8.21        5.1700     10.0
       20080517       9.22        5.1700     10.0
       20080517      10.89        5.1600     10.0
       20080518       2.50        5.3400     10.0
       20080518       2.87        5.3400     10.0
       20080518       3.32        5.3400     10.0
       20080518       4.31        5.3400     10.0
       20080518       5.30        5.3400     10.0
       20080518       6.24        5.3300     10.0
       20080518       7.21        5.3300     10.0
       20080518       8.21        5.3300     10.0
       20080518       9.22        5.3300     10.0
       20080518      10.89        5.3200     10.0
       20080519       2.50        5.5500     10.0
       20080519       2.87        5.5400     10.0
       20080519       3.32        5.5300     10.0
       20080519       4.31        5.5100     10.0
       20080519       5.30        5.5000     10.0
       20080519       6.24        5.4900     10.0
       20080519       7.21        5.4800     10.0
       20080519       8.21        5.4700     10.0
       20080519       9.22        5.4700     10.0
       20080519      10.89        5.4400     10.0
       20080520       2.50        6.0400     10.0
       20080520       2.87        6.0300     10.0
       20080520       3.32        6.0200     10.0
       20080520       4.31        6.0000     10.0
       20080520       5.30        5.9800     10.0
       20080520       6.24        5.9700     10.0
       20080520       7.21        5.9600     10.0
       20080520       8.21        5.9400     10.0
       20080520       9.22        5.9200     10.0
       20080520      10.89        5.8600     10.0
       20080521       2.50        6.2400     10.0
       20080521       2.87        6.1600     10.0
       20080521       3.32        6.1000     10.0
       20080521       4.31        6.0400     10.0
       20080521       5.30        6.0300     10.0
       20080521       6.24        6.0100     10.0
       20080521       7.21        6.0000     10.0
       20080521       8.21        5.9800     10.0
       20080521       9.22        5.9500     10.0
       20080521      10.89        5.8100     10.0
       20080522       2.50        6.6500     10.0
       20080522       2.87        6.6100     10.0
       20080522       3.32        6.5500     10.0
       20080522       4.31        6.4600     10.0
       20080522       5.30        6.3900     10.0
       20080522       6.24        6.3200     10.0
       20080522       7.21        6.2800     10.0
       20080522       8.21        6.2300     10.0
       20080522       9.22        6.1700     10.0
       20080522      10.89        5.9700     10.0
       20080523       2.50        6.9100     10.0
       20080523       2.87        6.8900     10.0
       20080523       3.32        6.8800     10.0
       20080523       4.31        6.8400     10.0
       20080523       5.30        6.8100     10.0
       20080523       6.24        6.7800     10.0
       20080523       7.21        6.7400     10.0
       20080523       8.21        6.6900     10.0
       20080523       9.22        6.6100     10.0
       20080523      10.89        6.4600     10.0
       20080524       2.50        7.2700     10.0
       20080524       2.87        7.2500     10.0
       20080524       3.32        7.2300     10.0
       20080524       4.31        7.2000     10.0
       20080524       5.30        7.1600     10.0
       20080524       6.24        7.1200     10.0
       20080524       7.21        7.0700     10.0
       20080524       8.21        7.0300     10.0
       20080524       9.22        6.9600     10.0
       20080524      10.89        6.8200     10.0
       20080525       2.50        7.6800     10.0
       20080525       2.87        7.6200     10.0
       20080525       3.32        7.5500     10.0
       20080525       4.31        7.4200     10.0
       20080525       5.30        7.3400     10.0
       20080525       6.24        7.2600     10.0
       20080525       7.21        7.1700     10.0
       20080525       8.21        7.1200     10.0
       20080525       9.22        7.0800     10.0
       20080525      10.89        6.9900     10.0
       20080526       2.50        8.1800     10.0
       20080526       2.87        8.1400     10.0
       20080526       3.32        8.0800     10.0
       20080526       4.31        7.9600     10.0
       20080526       5.30        7.7900     10.0
       20080526       6.24        7.3900     10.0
       20080526       7.21        7.1100     10.0
       20080526       8.21        7.0300     10.0
       20080526       9.22        6.9800     10.0
       20080526      10.89        6.8100     10.0
       20080531       2.46       10.7450     10.0
       20080531       3.46       10.6100     10.0
       20080531       4.46       10.3440     10.0
       20080531       5.46        9.2290     10.0
       20080531       6.46        8.5950     10.0
       20080531       7.46        8.2650     10.0
       20080531       8.46        8.0550     10.0
       20080531       8.96        7.9750     10.0
       20080531       9.46        7.8960     10.0
       20080531       9.96        7.7890     10.0
       20080531      10.66        7.5700     10.0
       20080531      11.24        7.3140     10.0
       20080601       2.46       10.7080     10.0
       20080601       3.46       10.4540     10.0
       20080601       4.46       10.2290     10.0
       20080601       5.46        9.8770     10.0
       20080601       6.46        9.2500     10.0
       20080601       7.46        8.7380     10.0
       20080601       8.46        8.4780     10.0
       20080601       8.96        8.3830     10.0
       20080601       9.46        8.2880     10.0
       20080601       9.96        8.1820     10.0
       20080601      10.66        7.9820     10.0
       20080601      11.24        7.5750     10.0
       20080602       2.46       11.3190     10.0
       20080602       3.46       11.2640     10.0
       20080602       4.46       11.1750     10.0
       20080602       5.46       11.0830     10.0
       20080602       6.46       10.9910     10.0
       20080602       7.46       10.7650     10.0
       20080602       8.46       10.1650     10.0
       20080602       8.96        9.8080     10.0
       20080602       9.46        9.4570     10.0
       20080602       9.96        8.9630     10.0
       20080602      10.66        8.2210     10.0
       20080602      11.24        7.7070     10.0
       20080603       2.46       11.2150     10.0
       20080603       3.46       11.1980     10.0
       20080603       4.46       11.1670     10.0
       20080603       5.46       11.1130     10.0
       20080603       6.46       11.0280     10.0
       20080603       7.46       10.8800     10.0
       20080603       8.46       10.5420     10.0
       20080603       8.96       10.2300     10.0
       20080603       9.46        9.9640     10.0
       20080603       9.96        9.6570     10.0
       20080603      10.66        9.2010     10.0
       20080603      11.24        8.2520     10.0
       20080604       2.46       11.1460     10.0
       20080604       3.46       11.0670     10.0
       20080604       4.46       11.0040     10.0
       20080604       5.46       10.9630     10.0
       20080604       6.46       10.8980     10.0
       20080604       7.46       10.8040     10.0
       20080604       8.46       10.5590     10.0
       20080604       8.96       10.3940     10.0
       20080604       9.46       10.2240     10.0
       20080604       9.96       10.0880     10.0
       20080604      10.66        9.8520     10.0
       20080604      11.24        8.7960     10.0
       20080605       2.46       11.6520     10.0
       20080605       3.46       11.4660     10.0
       20080605       4.46       11.3610     10.0
       20080605       5.46       11.2730     10.0
       20080605       6.46       11.1400     10.0
       20080605       7.46       11.0170     10.0
       20080605       8.46       10.8820     10.0
       20080605       8.96       10.7920     10.0
       20080605       9.46       10.5960     10.0
       20080605       9.96       10.4120     10.0
       20080605      10.66       10.1540     10.0
       20080605      11.24        9.1220     10.0
       20080606       2.46       11.9170     10.0
       20080606       3.46       11.7990     10.0
       20080606       4.46       11.7050     10.0
       20080606       5.46       11.6520     10.0
       20080606       6.46       11.5980     10.0
       20080606       7.46       11.5090     10.0
       20080606       8.46       11.3900     10.0
       20080606       8.96       11.2780     10.0
       20080606       9.46       11.1290     10.0
       20080606       9.96       10.9860     10.0
       20080606      10.66       10.7320     10.0
       20080606      11.24        9.8380     10.0
       20080607       2.46       11.7380     10.0
       20080607       3.46       11.7330     10.0
       20080607       4.46       11.7230     10.0
       20080607       5.46       11.7070     10.0
       20080607       6.46       11.6970     10.0
       20080607       7.46       11.6730     10.0
       20080607       8.46       11.6180     10.0
       20080607       8.96       11.5500     10.0
       20080607       9.46       11.4630     10.0
       20080607       9.96       11.3600     10.0
       20080607      10.66       11.1550     10.0
       20080607      11.24       10.1920     10.0
       20080608       2.46       11.5880     10.0
       20080608       3.46       11.5860     10.0
       20080608       4.46       11.5840     10.0
       20080608       5.46       11.5800     10.0
       20080608       6.46       11.5790     10.0
       20080608       7.46       11.5690     10.0
       20080608       8.46       11.5500     10.0
       20080608       8.96       11.5290     10.0
       20080608       9.46       11.5030     10.0
       20080608       9.96       11.4710     10.0
       20080608      10.66       11.3910     10.0
       20080608      11.24       10.5090     10.0
       20080609       2.46       11.2030     10.0
       20080609       3.46       11.2020     10.0
       20080609       4.46       11.2000     10.0
       20080609       5.46       11.1950     10.0
       20080609       6.46       11.1890     10.0
       20080609       7.46       11.1750     10.0
       20080609       8.46       11.1610     10.0
       20080609       8.96       11.1490     10.0
       20080609       9.46       11.1400     10.0
       20080609       9.96       11.1300     10.0
       20080609      10.66       11.1230     10.0
       20080609      11.24       10.5840     10.0
       20080610       2.46       10.7680     10.0
       20080610       3.46       10.7410     10.0
       20080610       4.46       10.7260     10.0
       20080610       5.46       10.7070     10.0
       20080610       6.46       10.6760     10.0
       20080610       7.46       10.6350     10.0
       20080610       8.46       10.6090     10.0
       20080610       8.96       10.5950     10.0
       20080610       9.46       10.5800     10.0
       20080610       9.96       10.5600     10.0
       20080610      10.66       10.5380     10.0
       20080610      11.24       10.2330     10.0
       20080611       2.46       10.7420     10.0
       20080611       3.46       10.7410     10.0
       20080611       4.46       10.7400     10.0
       20080611       5.46       10.7380     10.0
       20080611       6.46       10.7400     10.0
       20080611       7.46       10.7370     10.0
       20080611       8.46       10.7360     10.0
       20080611       8.96       10.7320     10.0
       20080611       9.46       10.7310     10.0
       20080611       9.96       10.7260     10.0
       20080611      10.66       10.7210     10.0
       20080611      11.24       10.3000     10.0
       20080612       2.46       10.7830     10.0
       20080612       3.46       10.7450     10.0
       20080612       4.46       10.7200     10.0
       20080612       5.46       10.6870     10.0
       20080612       6.46       10.6470     10.0
       20080612       7.46       10.6090     10.0
       20080612       8.46       10.5940     10.0
       20080612       8.96       10.5780     10.0
       20080612       9.46       10.5580     10.0
       20080612       9.96       10.5430     10.0
       20080612      10.66       10.5410     10.0
       20080612      11.24       10.3380     10.0
       20080613       2.46       11.2700     10.0
       20080613       3.46       11.0160     10.0
       20080613       4.46       10.8950     10.0
       20080613       5.46       10.8540     10.0
       20080613       6.46       10.8260     10.0
       20080613       7.46       10.7810     10.0
       20080613       8.46       10.7270     10.0
       20080613       8.96       10.6920     10.0
       20080613       9.46       10.6640     10.0
       20080613       9.96       10.6260     10.0
       20080613      10.66       10.5520     10.0
       20080613      11.24       10.2780     10.0
       20080614       2.46       11.8530     10.0
       20080614       3.46       11.4450     10.0
       20080614       4.46       11.0590     10.0
       20080614       5.46       10.9200     10.0
       20080614       6.46       10.8560     10.0
       20080614       7.46       10.8130     10.0
       20080614       8.46       10.7570     10.0
       20080614       8.96       10.7070     10.0
       20080614       9.46       10.6420     10.0
       20080614       9.96       10.5920     10.0
       20080614      10.66       10.5050     10.0
       20080614      11.24       10.0760     10.0
       20080615       2.46       11.7880     10.0
       20080615       3.46       11.5860     10.0
       20080615       4.46       11.3770     10.0
       20080615       5.46       11.2470     10.0
       20080615       6.46       11.1220     10.0
       20080615       7.46       10.9690     10.0
       20080615       8.46       10.8350     10.0
       20080615       8.96       10.7720     10.0
       20080615       9.46       10.7020     10.0
       20080615       9.96       10.6320     10.0
       20080615      10.66       10.4950     10.0
       20080615      11.24       10.1070     10.0
       20080616       2.46       11.8220     10.0
       20080616       3.46       11.6780     10.0
       20080616       4.46       11.5880     10.0
       20080616       5.46       11.5260     10.0
       20080616       6.46       11.4490     10.0
       20080616       7.46       11.3060     10.0
       20080616       8.46       11.2260     10.0
       20080616       8.96       11.1840     10.0
       20080616       9.46       11.1400     10.0
       20080616       9.96       11.0920     10.0
       20080616      10.66       10.9940     10.0
       20080616      11.24       10.6410     10.0
       20080617       2.46       12.3740     10.0
       20080617       3.46       12.2470     10.0
       20080617       4.46       12.1930     10.0
       20080617       5.46       12.1490     10.0
       20080617       6.46       12.1130     10.0
       20080617       7.46       12.0400     10.0
       20080617       8.46       11.8280     10.0
       20080617       8.96       11.6880     10.0
       20080617       9.46       11.5400     10.0
       20080617       9.96       11.3640     10.0
       20080617      10.66       11.1060     10.0
       20080617      11.24       10.7440     10.0
       20080618       2.46       14.0430     10.0
       20080618       3.46       13.0310     10.0
       20080618       4.46       12.3850     10.0
       20080618       5.46       12.0540     10.0
       20080618       6.46       11.8450     10.0
       20080618       7.46       11.6520     10.0
       20080618       8.46       11.4980     10.0
       20080618       8.96       11.4120     10.0
       20080618       9.46       11.3350     10.0
       20080618       9.96       11.2680     10.0
       20080618      10.66       11.1860     10.0
       20080618      11.24       10.9130     10.0
       20080619       2.46       13.2400     10.0
       20080619       3.46       12.8770     10.0
       20080619       4.46       12.6400     10.0
       20080619       5.46       12.4810     10.0
       20080619       6.46       12.2680     10.0
       20080619       7.46       12.0610     10.0
       20080619       8.46       11.8690     10.0
       20080619       8.96       11.7810     10.0
       20080619       9.46       11.6950     10.0
       20080619       9.96       11.5650     10.0
       20080619      10.66       11.3930     10.0
       20080619      11.24       10.9750     10.0
       20080620       2.46       13.7600     10.0
       20080620       3.46       13.7010     10.0
       20080620       4.46       13.6440     10.0
       20080620       5.46       13.5220     10.0
       20080620       6.46       13.4080     10.0
       20080620       7.46       13.2160     10.0
       20080620       8.46       13.0570     10.0
       20080620       8.96       12.8880     10.0
       20080620       9.46       12.5670     10.0
       20080620       9.96       12.1940     10.0
       20080620      10.66       11.6120     10.0
       20080620      11.24       11.1310     10.0
       20080621       2.46       14.3650     10.0
       20080621       3.46       14.3420     10.0
       20080621       4.46       14.3130     10.0
       20080621       5.46       14.2680     10.0
       20080621       6.46       14.1940     10.0
       20080621       7.46       13.7450     10.0
       20080621       8.46       12.9260     10.0
       20080621       8.96       12.6550     10.0
       20080621       9.46       12.4260     10.0
       20080621       9.96       12.2090     10.0
       20080621      10.66       11.8560     10.0
       20080621      11.24       11.2140     10.0
       20080622       2.46       14.5720     10.0
       20080622       3.46       14.5060     10.0
       20080622       4.46       14.4000     10.0
       20080622       5.46       14.2440     10.0
       20080622       6.46       14.0860     10.0
       20080622       7.46       13.4430     10.0
       20080622       8.46       12.7530     10.0
       20080622       8.96       12.5090     10.0
       20080622       9.46       12.3300     10.0
       20080622       9.96       12.1980     10.0
       20080622      10.66       11.9610     10.0
       20080622      11.24       11.3350     10.0
       20080623       2.46       14.9820     10.0
       20080623       3.46       14.8090     10.0
       20080623       4.46       14.6560     10.0
       20080623       5.46       14.2050     10.0
       20080623       6.46       13.6720     10.0
       20080623       7.46       13.1750     10.0
       20080623       8.46       12.6540     10.0
       20080623       8.96       12.5080     10.0
       20080623       9.46       12.3300     10.0
       20080623       9.96       12.1130     10.0
       20080623      10.66       11.9160     10.0
       20080623      11.24       11.3800     10.0
       20080624       2.46       15.7110     10.0
       20080624       3.46       15.6450     10.0
       20080624       4.46       15.5250     10.0
       20080624       5.46       14.8830     10.0
       20080624       6.46       13.6100     10.0
       20080624       7.46       13.0360     10.0
       20080624       8.46       12.5870     10.0
       20080624       8.96       12.4420     10.0
       20080624       9.46       12.3170     10.0
       20080624       9.96       12.2220     10.0
       20080624      10.66       12.0210     10.0
       20080624      11.24       11.7320     10.0
       20080625       2.46       16.0990     10.0
       20080625       3.46       16.0190     10.0
       20080625       4.46       15.8800     10.0
       20080625       5.46       14.8140     10.0
       20080625       6.46       13.4310     10.0
       20080625       7.46       12.9360     10.0
       20080625       8.46       12.6760     10.0
       20080625       8.96       12.4750     10.0
       20080625       9.46       12.3070     10.0
       20080625       9.96       12.1670     10.0
       20080625      10.66       11.9750     10.0
       20080625      11.24       11.7670     10.0
       20080626       2.46       16.0900     10.0
       20080626       3.46       16.0780     10.0
       20080626       4.46       16.0500     10.0
       20080626       5.46       15.9590     10.0
       20080626       6.46       15.6020     10.0
       20080626       7.46       14.5810     10.0
       20080626       8.46       13.6470     10.0
       20080626       8.96       13.1450     10.0
       20080626       9.46       12.6710     10.0
       20080626       9.96       12.4510     10.0
       20080626      10.66       12.1620     10.0
       20080626      11.24       11.7370     10.0
       20080627       2.46       16.0800     10.0
       20080627       3.46       16.0600     10.0
