Observation #: 25722
-------------------------------------------------------------------------------------
 Time(YYYMMDD)   Depth(m) Value(celsius)  Std(%)
       20070720      11.10       15.9190     10.0
       20070720      11.30       15.6890     10.0
       20070721       2.77       18.5580     10.0
       20070721       3.14       18.5560     10.0
       20070721       3.59       18.5540     10.0
       20070721       4.58       18.5480     10.0
       20070721       5.57       18.5420     10.0
       20070721       6.51       18.5150     10.0
       20070721       7.48       18.2650     10.0
       20070721       8.48       17.4210     10.0
       20070721       9.49       16.7060     10.0
       20070721      11.10       15.9040     10.0
       20070721      11.30       15.6450     10.0
       20070722       2.77       18.3900     10.0
       20070722       3.14       18.3860     10.0
       20070722       3.59       18.3800     10.0
       20070722       4.58       18.3680     10.0
       20070722       5.57       18.3500     10.0
       20070722       6.51       18.3220     10.0
       20070722       7.48       18.2530     10.0
       20070722       8.48       17.5560     10.0
       20070722       9.49       16.8300     10.0
       20070722      11.10       15.9210     10.0
       20070722      11.30       15.6120     10.0
       20070723       2.77       18.4390     10.0
       20070723       3.14       18.3810     10.0
       20070723       3.59       18.3450     10.0
       20070723       4.58       18.3040     10.0
       20070723       5.57       18.2820     10.0
       20070723       6.51       18.2450     10.0
       20070723       7.48       18.1660     10.0
       20070723       8.48       17.9420     10.0
       20070723       9.49       16.6240     10.0
       20070723      11.10       15.9900     10.0
       20070723      11.30       15.6930     10.0
       20070724       2.77       18.7640     10.0
       20070724       3.14       18.7460     10.0
       20070724       3.59       18.7210     10.0
       20070724       4.58       18.6710     10.0
       20070724       5.57       18.5670     10.0
       20070724       6.51       18.2780     10.0
       20070724       7.48       18.0230     10.0
       20070724       8.48       17.4270     10.0
       20070724       9.49       16.6750     10.0
       20070724      11.10       15.8330     10.0
       20070724      11.30       15.5610     10.0
       20070725       2.77       18.8830     10.0
       20070725       3.14       18.8600     10.0
       20070725       3.59       18.8380     10.0
       20070725       4.58       18.8010     10.0
       20070725       5.57       18.7530     10.0
       20070725       6.51       18.5560     10.0
       20070725       7.48       17.9070     10.0
       20070725       8.48       17.2540     10.0
       20070725       9.49       16.6830     10.0
       20070725      11.10       15.8110     10.0
       20070725      11.30       15.5790     10.0
       20070726       2.77       18.7420     10.0
       20070726       3.14       18.7400     10.0
       20070726       3.59       18.7350     10.0
       20070726       4.58       18.7150     10.0
       20070726       5.57       18.6700     10.0
       20070726       6.51       18.5210     10.0
       20070726       7.48       18.1330     10.0
       20070726       8.48       17.6400     10.0
       20070726       9.49       16.9040     10.0
       20070726      11.10       16.0000     10.0
       20070726      11.30       15.7480     10.0
       20070727       2.77       18.4450     10.0
       20070727       3.14       18.4140     10.0
       20070727       3.59       18.3870     10.0
       20070727       4.58       18.3670     10.0
       20070727       5.57       18.3530     10.0
       20070727       6.51       18.3300     10.0
       20070727       7.48       18.2650     10.0
       20070727       8.48       18.0830     10.0
       20070727       9.49       17.4700     10.0
       20070727      11.10       15.8640     10.0
       20070727      11.30       15.6200     10.0
       20070728       2.77       18.3720     10.0
       20070728       3.14       18.3660     10.0
       20070728       3.59       18.3590     10.0
       20070728       4.58       18.3370     10.0
       20070728       5.57       18.3000     10.0
       20070728       6.51       18.2510     10.0
       20070728       7.48       18.1770     10.0
       20070728       8.48       18.0940     10.0
       20070728       9.49       17.7190     10.0
       20070728      11.10       16.0950     10.0
       20070728      11.30       15.6650     10.0
       20070729       2.77       18.3740     10.0
       20070729       3.14       18.3560     10.0
       20070729       3.59       18.3350     10.0
       20070729       4.58       18.2950     10.0
       20070729       5.57       18.2680     10.0
       20070729       6.51       18.2530     10.0
       20070729       7.48       18.1980     10.0
       20070729       8.48       18.1230     10.0
       20070729       9.49       18.0890     10.0
       20070729      11.10       16.4330     10.0
       20070729      11.30       16.1400     10.0
       20070730       2.77       18.6850     10.0
       20070730       3.14       18.6610     10.0
       20070730       3.59       18.6460     10.0
       20070730       4.58       18.6030     10.0
       20070730       5.57       18.5610     10.0
       20070730       6.51       18.4930     10.0
       20070730       7.48       18.4420     10.0
       20070730       8.48       18.3070     10.0
       20070730       9.49       17.8440     10.0
       20070730      11.10       16.4740     10.0
       20070730      11.30       15.8060     10.0
       20070731       2.77       18.5340     10.0
       20070731       3.14       18.5340     10.0
       20070731       3.59       18.5330     10.0
       20070731       4.58       18.5270     10.0
       20070731       5.57       18.5170     10.0
       20070731       6.51       18.4830     10.0
       20070731       7.48       18.4280     10.0
       20070731       8.48       18.2760     10.0
       20070731       9.49       17.9330     10.0
       20070731      11.10       16.6290     10.0
       20070731      11.30       16.0570     10.0
       20070801       2.77       17.9420     10.0
       20070801       3.14       17.9420     10.0
       20070801       3.59       17.9420     10.0
       20070801       4.58       17.9420     10.0
       20070801       5.57       17.9420     10.0
       20070801       6.51       17.9390     10.0
       20070801       7.48       17.9330     10.0
       20070801       8.48       17.9230     10.0
       20070801       9.49       17.9040     10.0
       20070801      11.10       17.5370     10.0
       20070801      11.30       17.4140     10.0
       20070802       2.77       17.7640     10.0
       20070802       3.14       17.7570     10.0
       20070802       3.59       17.7480     10.0
       20070802       4.58       17.7310     10.0
       20070802       5.57       17.7130     10.0
       20070802       6.51       17.6950     10.0
       20070802       7.48       17.6700     10.0
       20070802       8.48       17.6340     10.0
       20070802       9.49       17.5710     10.0
       20070802      11.10       17.4660     10.0
       20070802      11.30       17.4540     10.0
       20070803       2.77       18.0100     10.0
       20070803       3.14       17.9510     10.0
       20070803       3.59       17.9190     10.0
       20070803       4.58       17.8890     10.0
       20070803       5.57       17.8680     10.0
       20070803       6.51       17.8550     10.0
       20070803       7.48       17.8460     10.0
       20070803       8.48       17.8280     10.0
       20070803       9.49       17.7590     10.0
       20070803      11.10       17.3880     10.0
       20070803      11.30       17.2820     10.0
       20070804       2.77       18.2700     10.0
       20070804       3.14       18.1520     10.0
       20070804       3.59       18.1110     10.0
       20070804       4.58       18.0440     10.0
       20070804       5.57       17.9870     10.0
       20070804       6.51       17.9460     10.0
       20070804       7.48       17.8930     10.0
       20070804       8.48       17.7830     10.0
       20070804       9.49       17.6360     10.0
       20070804      11.10       17.3310     10.0
       20070804      11.30       17.1680     10.0
       20070805       2.77       18.4530     10.0
       20070805       3.14       18.4300     10.0
       20070805       3.59       18.4050     10.0
       20070805       4.58       18.3520     10.0
       20070805       5.57       18.2870     10.0
       20070805       6.51       18.1260     10.0
       20070805       7.48       18.0220     10.0
       20070805       8.48       17.9160     10.0
