Observation #: 810
-----------------------------------------------------
Time(YYYYMMDD)     Depth(m) Value(celsius)     Std%)
20140822                 7.0        21.0000      10.0
20140822                 9.0        11.8000      10.0
20140822                11.0         9.7000      10.0
20140822                13.0         9.2000      10.0
20140822                15.0         8.8000      10.0
20140822                17.0         8.3000      10.0
20140822                19.0         7.9000      10.0
20140822                21.0         7.6000      10.0
20140822                23.0         7.4000      10.0
20140822                25.0         7.3000      10.0
