Layer #: 12
-----------------------------------
Depth (m)  Area (m^2)
         0    23670000
         2    21380000
         4    19000000
         6    16590000
         8    14180000
        10    11610000
        12     7410000
        14     3220000
        16     1420000
        18      160000
        20       10000
        21         100
