Layer #: 20
----------------------------------------
Depth(m)   Area(m^2)
0          874000  
1          690430  
2          549810  
3          447400  
4          415470  
5          387650  
6          360670  
7          327300  
8          294820  
9          264030  
10         234940  
11         207540  
12         181840  
13         147180  
14         113990  
15         85030  
16         50110  
17         22270  
18         5570  
19         0  
