Layer #: 15
----------------------------------------
Depth(m)   Area(m^2)
0          13444400  
1.5        11965000  
2          10794000  
3          9239000  
4          8474000  
6          7575000  
10         5959000  
15         4393000  
20         3355000  
30         2461000  
40         1646000  
50         702000  
60         293000  
70         49000  
80         5000  
