Layer #: 10
----------------------------------------
Depth(m)  Area(m^2)
0         40966000  
10        37604000  
20        35616000  
30        33052000  
40        28600000  
50        24329000  
60        20441000  
70        17478000  
80        13184000  
87.5      100  
