Layer #: 20
----------------------------------------
Depth(m)  Area(m^2)
0         2832430  
1         2682566  
2         2582118  
3         2508280  
4         2434442  
5         2294385  
6         2068943  
7         1797045  
8         1648283  
9         1501246  
10        1354190  
11        1206514  
12        1058838  
13        911890  
14        764962  
15        617286  
16        469610  
17        321934  
18        174661  
19        0  
