Layer #: 12
-------------------------------------
 Depth(m)    Area(m^2)
         0   13600000
         2   13600000
         4   13600000
         6   13600000
         8   13600000
        10   13600000
        12   13600000
        14   13600000
        16   13600000
        18   13600000
        20   13600000
      22.5   13600000
