Layer #: 18
----------------------------------------
Depth(m)   Area(m^2)
0          218000000
9          163000000  
19         152000000  
29         142000000  
39         132000000  
49         122000000  
59         110000000  
69         98000000  
79         85000000  
89         75000000  
99         65000000  
109        57000000  
119        46000000  
129        32000000  
139        10000000  
149        1000000  
153        10000  
154        0  
