Layer #: 12
----------------------------------------
Depth(m)     Area(m^2)
0            6963558  
1.524019     6235697  
3.048037     5027128  
4.572056     4543309  
6.096074     4038526  
7.620093     3546977  
9.144111     2983878  
10.66813     2406370  
12.19215     1764754  
13.71617     1076862  
15.24019     202826  
16.4594      0  
