Layer #: 14
----------------------------------------
Depth(m)    Area(m^2)
0           26509780  
5           24493617  
10          23575901  
15          22839854  
20          22076789  
25          21225689  
30          20275289  
35          19123289  
40          17647289  
45          15808087  
50          13184345  
55          8436401  
60          3412230  
65          239800  
