Layer #: 15
------------------------------------
Depth (m)     Area (m^2)
         0       87615000
         5       80755000
        10       72925000
        15       67465000
        20       61585000
        25       56360000
        30       50660000
        35       41645000
        40       34770000
        45       28020000
        50       20690000
        55       16025000
        60        4065000
        65          20000
      65.2              0
