Layer #: 18
----------------------------------------
Depth(m)   Area(m^2)
0          6051600  
1          5507600  
2          4432400  
3          3396800  
4          2640400  
5          1898400  
6          1356800  
7          944400  
8          710800  
9          521600  
10         393200  
11         274800  
12         190400  
13         119600  
14         64800  
15         27200  
16         6800  
17         800  
